Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Country,Happiness.Rank_17,Happiness.Score_17,Family_17,Health..Life.Expectancy._17,Freedom_17,Economy..GDP.per.Capita._17
New Zealand,Australia and New Zealand,9,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,New Zealand,8,7.31400013,1.548195124,0.816759706,0.61406213,1.405706048
Nicaragua,Latin America and Caribbean,57,5.828,0.05371,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,Nicaragua,43,6.071000099,1.28721571,0.653095961,0.447551847,0.737299204
Niger,Sub-Saharan Africa,144,3.845,0.03602,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,Niger,135,4.027999878,0.993025005,0.268505007,0.363658696,0.161925331
Nigeria,Sub-Saharan Africa,78,5.268,0.04192,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,Nigeria,95,5.073999882,1.215770483,0.05691573,0.394952565,0.783756256
North Cyprus,Western Europe,66,5.695,0.05635,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,North Cyprus,61,5.809999943,1.186303377,0.834647238,0.471203625,1.346911311
Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,Norway,1,7.537000179,1.53352356,0.796666503,0.635422587,1.616463184
Pakistan,Southern Asia,81,5.194,0.03726,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,Pakistan,80,5.269000053,0.67269069,0.402047783,0.235215262,0.726883531
Palestinian Territories,Middle East and Northern Africa,108,4.715,0.04394,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,Palestinian Territories,103,4.775000095,1.155647159,0.565666974,0.254711062,0.716249228
Panama,Latin America and Caribbean,25,6.786,0.0491,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,Panama,30,6.452000141,1.373192549,0.706156135,0.550026834,1.233748436
Paraguay,Latin America and Caribbean,53,5.878,0.04563,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,Paraguay,70,5.493000031,1.50728488,0.579250693,0.473507792,0.932537317
Peru,Latin America and Caribbean,58,5.824,0.04615,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,Peru,63,5.715000153,1.218770385,0.630166113,0.450002879,1.035225272
Philippines,Southeastern Asia,90,5.073,0.04934,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,Philippines,72,5.429999828,1.253917575,0.468009055,0.585214674,0.857699215
Poland,Central and Eastern Europe,60,5.791,0.04263,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,Poland,46,5.97300005,1.44571197,0.699475348,0.520342112,1.291787863
Portugal,Western Europe,88,5.102,0.04802,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,Portugal,89,5.195000172,1.367043018,0.795843542,0.4984653,1.315175295
Qatar,Middle East and Northern Africa,28,6.611,0.06257,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,Qatar,35,6.375,1.27429688,0.710098088,0.604130983,1.870765686
Romania,Central and Eastern Europe,86,5.124,0.06607,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,Romania,57,5.824999809,1.15009129,0.685158312,0.457003742,1.217683911
Russia,Central and Eastern Europe,64,5.716,0.03135,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,Russia,49,5.962999821,1.469282389,0.547349334,0.373783112,1.281778097
Rwanda,Sub-Saharan Africa,154,3.465,0.03464,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,Rwanda,151,3.470999956,0.945707023,0.326424807,0.581843853,0.368745893
Saudi Arabia,Middle East and Northern Africa,35,6.411,0.04633,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,Saudi Arabia,37,6.343999863,1.286677599,0.59014833,0.449750572,1.530623555
Senegal,Sub-Saharan Africa,142,3.904,0.03608,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,Senegal,115,4.534999847,1.179691911,0.409362853,0.377922267,0.479309022
Serbia,Central and Eastern Europe,87,5.123,0.04864,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,Serbia,73,5.394999981,1.258189797,0.650784671,0.208715528,1.069317579
Sierra Leone,Sub-Saharan Africa,123,4.507,0.07068,0.33024,0.95571,0,0.4084,0.08786,0.21488,Sierra Leone,106,4.709000111,0.984136045,0.005564754,0.318697691,0.368420929
Singapore,Southeastern Asia,24,6.798,0.0378,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,Singapore,26,6.572000027,1.353814363,0.949492395,0.549840569,1.69227767
Slovakia,Central and Eastern Europe,45,5.995,0.04267,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,Slovakia,40,6.09800005,1.505059242,0.712732911,0.295817465,1.325393558
Slovenia,Central and Eastern Europe,55,5.848,0.04251,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,Slovenia,62,5.757999897,1.452518821,0.790828228,0.572575808,1.341205955
Somalia,Sub-Saharan Africa,91,5.057,0.06161,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,Somalia,93,5.151000023,0.721151352,0.113989137,0.602126956,0.022643184
South Africa,Sub-Saharan Africa,113,4.642,0.04585,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,South Africa,101,4.828999996,1.384788632,0.18708007,0.479246736,1.054698706
South Korea,Eastern Asia,47,5.984,0.04098,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,South Korea,55,5.837999821,1.128274441,0.900214076,0.257921666,1.401678443
Spain,Western Europe,36,6.329,0.03468,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,Spain,34,6.402999878,1.532090902,0.8889606,0.40878123,1.384397864
Sri Lanka,Southern Asia,132,4.271,0.03751,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,Sri Lanka,120,4.440000057,1.259976387,0.625130832,0.561213255,1.009850144
Sudan,Sub-Saharan Africa,118,4.55,0.0674,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,Sudan,130,4.138999939,1.21400857,0.290920824,0.014995855,0.659516692
Sweden,Western Europe,8,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,Sweden,9,7.28399992,1.478162169,0.830875158,0.612924099,1.494387269
Switzerland,Western Europe,1,7.587,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,Switzerland,4,7.493999958,1.516911745,0.858131289,0.620070577,1.564979553
Syria,Middle East and Northern Africa,156,3.006,0.05015,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,Syria,152,3.461999893,0.396102607,0.500533342,0.081539445,0.777153134
Taiwan,Eastern Asia,38,6.298,0.03868,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,Taiwan,33,6.421999931,1.384565353,0.793984234,0.361466587,1.433626533
Tajikistan,Central and Eastern Europe,106,4.786,0.03198,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,Tajikistan,96,5.040999889,1.271463275,0.529235125,0.471566707,0.524713635
Tanzania,Sub-Saharan Africa,146,3.781,0.05061,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,Tanzania,153,3.348999977,1.041989803,0.364509284,0.390017778,0.511135876
Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,Thailand,32,6.423999786,1.425792456,0.647239029,0.580200732,1.127868772
Togo,Sub-Saharan Africa,158,2.839,0.06727,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,Togo,150,3.494999886,0.43188253,0.247105569,0.380426139,0.305444717
Trinidad and Tobago,Latin America and Caribbean,41,6.168,0.10895,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,Trinidad and Tobago,38,6.168000221,1.380228519,0.519983292,0.518630743,1.361355901
Tunisia,Middle East and Northern Africa,107,4.739,0.03589,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,Tunisia,102,4.804999828,0.86835146,0.613212049,0.28968069,1.007265806
Turkey,Middle East and Northern Africa,76,5.332,0.03864,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,Turkey,69,5.5,1.337753177,0.637605608,0.3007406,1.198274374
Turkmenistan,Central and Eastern Europe,70,5.548,0.04175,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,Turkmenistan,59,5.822000027,1.493149161,0.43772608,0.418271929,1.130776763
Uganda,Sub-Saharan Africa,141,3.931,0.04317,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,Uganda,133,4.080999851,1.129827738,0.217632607,0.443185955,0.381430715
Ukraine,Central and Eastern Europe,111,4.681,0.04412,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,Ukraine,132,4.096000195,1.394537568,0.575903952,0.122974776,0.894651949
